sale_date,sale_month,sale_quarter,sale_year,block,floor,floor_decade,area_ft,area_m,price
28-Mar-11,2011-03,2011Q1,2011,8,12,1x,366,34,695000
28-Mar-11,2011-03,2011Q1,2011,8,12,1x,667,62,1269000
31-Mar-11,2011-03,2011Q1,2011,8,12,1x,366,34,691000
11-Apr-11,2011-04,2011Q2,2011,8,13,1x,366,34,694000
12-Apr-11,2011-04,2011Q2,2011,8,15,1x,398,37,776000
18-May-11,2011-05,2011Q2,2011,8,15,1x,366,34,800100
23-May-11,2011-05,2011Q2,2011,8,15,1x,366,34,804600
23-May-11,2011-05,2011Q2,2011,8,15,1x,667,62,1248000
8-Jun-11,2011-06,2011Q2,2011,8,15,1x,667,62,1287000
28-Jun-11,2011-06,2011Q2,2011,8,15,1x,700,65,1345000
25-Jul-11,2011-07,2011Q3,2011,8,15,1x,700,65,1435000
18-Aug-11,2011-08,2011Q3,2011,8,15,1x,398,37,880200
9-May-11,2011-05,2011Q2,2011,8,16,1x,667,62,1255000
13-May-11,2011-05,2011Q2,2011,8,16,1x,366,34,803700
13-Jun-11,2011-06,2011Q2,2011,8,16,1x,667,62,1294000
19-Aug-11,2011-08,2011Q3,2011,8,16,1x,700,65,1350000
22-Aug-11,2011-08,2011Q3,2011,8,16,1x,398,37,888300
24-Aug-11,2011-08,2011Q3,2011,8,16,1x,700,65,1442000
14-Nov-11,2011-11,2011Q4,2011,8,16,1x,366,34,713000
16-Nov-11,2011-11,2011Q4,2011,8,16,1x,398,37,883800
20-Nov-14,2014-11,2014Q4,2014,8,16,1x,667,62,1308000
20-May-11,2011-05,2011Q2,2011,8,17,1x,366,34,812700
23-May-11,2011-05,2011Q2,2011,8,17,1x,366,34,808200
2-Jun-11,2011-06,2011Q2,2011,8,17,1x,667,62,1264000
14-Jun-11,2011-06,2011Q2,2011,8,17,1x,667,62,1301000
24-Aug-11,2011-08,2011Q3,2011,8,17,1x,398,37,887400
14-Sep-11,2011-09,2011Q3,2011,8,17,1x,398,37,890100
9-Mar-12,2012-03,2012Q1,2012,8,17,1x,700,65,1356000
18-Oct-12,2012-10,2012Q4,2012,8,17,1x,700,65,1447000
11-Apr-11,2011-04,2011Q2,2011,8,18,1x,398,37,784000
25-Apr-11,2011-04,2011Q2,2011,8,18,1x,366,34,750600
25-Apr-11,2011-04,2011Q2,2011,8,18,1x,366,34,774000
28-Apr-11,2011-04,2011Q2,2011,8,18,1x,398,37,820800
28-May-15,2015-05,2015Q2,2015,8,18,1x,700,65,1540000
